,Job Title,Company,Location,Date,Month,Count,Category
1000,Full Time Nail Technician For A Day Spa In Lebanon ,Spa Stafcom,"Mount Lebanon, Lebanon",5/10/21,5,1,Technician
1001,Full Time Outdor Sales,Vetline Sarl,"Mount Lebanon, Lebanon",6/29/21,6,1,Sales Person
1002,Graphic Designer,Myassine Woodworks And Design,"Mount Lebanon, Lebanon",8/1/21,8,1,Designer
1003,Group Finance Manager,Roberts Group Holding,"Mount Lebanon, Lebanon",7/13/21,7,1,Finance Specialist
1009,Jewelry Salesperson,Almas,"Mount Lebanon, Lebanon",7/14/21,7,1,Sales Person
1012,Junior Designer,Maze,"Mount Lebanon, Lebanon",6/26/21,6,1,Designer
1013,Junior Graphic Designer,Blu Edge Marketing Agency,"Mount Lebanon, Lebanon",7/23/21,7,1,Designer
1014,Logistics Management Specialist,Copar,"Mount Lebanon, Lebanon",7/26/21,7,1,Manager
1015,Marketing Cordinator,Bma Paints,"Mount Lebanon, Lebanon",7/12/21,7,1,Marketer
1016,Marketing Manager,Roadster Diner,"Mount Lebanon, Lebanon",6/18/21,6,1,Marketer
1017,Marketing Translator (En>Ar),Rws Group,"Mount Lebanon, Lebanon",8/19/21,8,1,Marketer
1018,Media Executivemanager,Ethos Interactive,"Mount Lebanon, Lebanon",6/22/21,6,1,Associate
1020,Midsenior Frontend Developer,Fo,"Mount Lebanon, Lebanon",6/26/21,6,1,Software Developer
1021,Midsenior Frontend Web Developer,Fo,"Mount Lebanon, Lebanon",6/3/21,6,1,Software Developer
1022,Midsenior Java Backend Developer,Fo,"Mount Lebanon, Lebanon",6/16/21,6,1,Software Developer
1023,Mobile Aplication Developer,Asap Systems,"Mount Lebanon, Lebanon",7/26/21,7,1,Software Developer
1024,Mobile Aplication Developer Ios Or Android,Band Industries Roadie Music,"Mount Lebanon, Lebanon",7/30/21,7,1,Software Developer
1026,Outdoor Sales,Oxshare,"Mount Lebanon, Lebanon",6/23/21,6,1,Sales Person
1027,Php Developer,Smartest Media,"Mount Lebanon, Lebanon",7/30/21,7,1,Software Developer
1030,Product Designer,Menasa,"Mount Lebanon, Lebanon",7/28/21,7,1,Designer
1031,Project Manager,Indevco Group,"Mount Lebanon, Lebanon",6/18/21,6,1,Manager
1035,React Native Software Enginer,Menasa,"Mount Lebanon, Lebanon",7/28/21,7,1,Engineer
1036,Real Estate Agent,Isold Real Estate Lebanon,"Mount Lebanon, Lebanon",7/17/21,7,1,Assistant
1038,Researcher,Inovative Institutional Ideaslebanon,"Mount Lebanon, Lebanon",7/7/21,7,1,Researcher
1039,Retail Salesperson,Nakhlets,"Mount Lebanon, Lebanon",7/14/21,7,1,Sales Person
1040,Sales Manager,Bkerzay,"Mount Lebanon, Lebanon",6/26/21,6,1,Sales Person
1041,Sales Person Jewelry Retail In Dbayeh,Confedential Company,"Mount Lebanon, Lebanon",7/21/21,7,1,Sales Person
1042,Search Engine Optimization Specialist,Designer Nancy,"Mount Lebanon, Lebanon",7/24/21,7,1,Engineer
1045,Senior Auditor,Rsm Lebanon,"Mount Lebanon, Lebanon",7/21/21,7,1,Accountant
1047,Senior Java Backend Developer,Fo,"Mount Lebanon, Lebanon",6/21/21,6,1,Software Developer
1048,Senior Php Backend Developertechnical Lead,Fo,"Mount Lebanon, Lebanon",6/16/21,6,1,Software Developer
1049,Senior Sales Consultant,Trust Unit Lebanon,"Mount Lebanon, Lebanon",7/27/21,7,1,Sales Person
1050,Senior Uiux Designer,Fo,"Mount Lebanon, Lebanon",6/16/21,6,1,Designer
