Skill,Category of Skill,Importance_n,Level,Code,Profession,Importance1
Persuasion,Social Skills,50,43,29-1299.02,Orthoptist,50
Time Management,Resource Management Skills,50,45,29-1299.02,Orthoptist,50
Systems Analysis,Systems Skills,47,43,29-1299.02,Orthoptist,47
Systems Evaluation,Systems Skills,47,43,29-1299.02,Orthoptist,47
Operations Analysis,Technical Skills,47,41,29-1299.02,Orthoptist,47
Reading Comprehension,Basic Skills,78,63,29-2091.00,Orthotists and Prosthetist,78
Active Listening ,Basic Skills,75,61,29-2091.00,Orthotists and Prosthetist,75
Critical Thinking,Basic Skills,75,59,29-2091.00,Orthotists and Prosthetist,75
Speaking,Basic Skills,75,59,29-2091.00,Orthotists and Prosthetist,75
Writing,Basic Skills,75,59,29-2091.00,Orthotists and Prosthetist,75
Sevice Orientation,Social Skills,72,54,29-2091.00,Orthotists and Prosthetist,72
Complex Problem Solving,Complex Problem Solving,72,55,29-2091.00,Orthotists and Prosthetist,72
Active learning ,Basic Skills,69,61,29-2091.00,Orthotists and Prosthetist,69
Social Perceptiveness,Social Skills,69,55,29-2091.00,Orthotists and Prosthetist,69
Coordination,Social Skills,56,48,29-2091.00,Orthotists and Prosthetist,56
Judgement and Decision Making,Systems Skills,56,52,29-2091.00,Orthotists and Prosthetist,56
Operations Analysis,Technical Skills,53,52,29-2091.00,Orthotists and Prosthetist,53
Learning Strategies,Basic Skills,50,50,29-2091.00,Orthotists and Prosthetist,50
Instructing,Social Skills,50,48,29-2091.00,Orthotists and Prosthetist,50
Persuasion,Social Skills,50,45,29-2091.00,Orthotists and Prosthetist,50
Time Management,Resource Management Skills,50,43,29-2091.00,Orthotists and Prosthetist,50
Systems Analysis,Systems Skills,50,43,29-2091.00,Orthotists and Prosthetist,50
Systems Evaluation,Systems Skills,50,45,29-2091.00,Orthotists and Prosthetist,50
Operation Monitoring,Technical Skills,50,41,29-2091.00,Orthotists and Prosthetist,50
Quality Control Analysis,Technical Skills,50,46,29-2091.00,Orthotists and Prosthetist,50
Technology Design,Technical Skills,50,45,29-2091.00,Orthotists and Prosthetist,50
Science,Basic Skills,44,46,29-2091.00,Orthotists and Prosthetist,44
Negotiation,Social Skills,41,36,29-2091.00,Orthotists and Prosthetist,41
Equipment Maintenance,Technical Skills,72,52,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanic,72
Repairing,Technical Skills,72,52,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanic,72
Troubleshooting,Technical Skills,69,52,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanic,69
Operation Monitoring,Technical Skills,60,43,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanic,60
Critical Thinking,Basic Skills,56,43,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanic,56
Equipment Selection,Technical Skills,56,39,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanic,56
Operation and Control,Technical Skills,56,43,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanic,56
Active Listening ,Basic Skills,53,39,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanic,53
Quality Control Analysis,Technical Skills,53,43,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanic,53
Complex Problem Solving,Complex Problem Solving,50,39,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanic,50
Reading Comprehension,Basic Skills,47,37,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanic,47
Speaking,Basic Skills,47,36,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanic,47
Judgement and Decision Making,Systems Skills,47,39,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanic,47
Active learning ,Basic Skills,44,39,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanic,44
Coordination,Social Skills,44,41,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanic,44
Social Perceptiveness,Social Skills,44,34,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanic,44
Time Management,Resource Management Skills,44,37,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanic,44
Writing,Basic Skills,41,36,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanic,41
Operation Monitoring,Technical Skills,56,46,51-9111.00,Packaging and Filling Machine Operators and Tender,56
Active Listening ,Basic Skills,50,39,51-9111.00,Packaging and Filling Machine Operators and Tender,50
Coordination,Social Skills,50,43,51-9111.00,Packaging and Filling Machine Operators and Tender,50
Operation and Control,Technical Skills,50,41,51-9111.00,Packaging and Filling Machine Operators and Tender,50
Critical Thinking,Basic Skills,47,32,51-9111.00,Packaging and Filling Machine Operators and Tender,47
Reading Comprehension,Basic Skills,47,41,51-9111.00,Packaging and Filling Machine Operators and Tender,47
Social Perceptiveness,Social Skills,47,37,51-9111.00,Packaging and Filling Machine Operators and Tender,47
Time Management,Resource Management Skills,47,34,51-9111.00,Packaging and Filling Machine Operators and Tender,47
Equipment Maintenance,Technical Skills,47,37,51-9111.00,Packaging and Filling Machine Operators and Tender,47
Quality Control Analysis,Technical Skills,47,37,51-9111.00,Packaging and Filling Machine Operators and Tender,47
Speaking,Basic Skills,44,32,51-9111.00,Packaging and Filling Machine Operators and Tender,44
Complex Problem Solving,Complex Problem Solving,44,30,51-9111.00,Packaging and Filling Machine Operators and Tender,44
Judgement and Decision Making,Systems Skills,44,30,51-9111.00,Packaging and Filling Machine Operators and Tender,44
Troubleshooting,Technical Skills,44,37,51-9111.00,Packaging and Filling Machine Operators and Tender,44
Writing,Basic Skills,41,32,51-9111.00,Packaging and Filling Machine Operators and Tender,41
Instructing,Social Skills,41,32,51-9111.00,Packaging and Filling Machine Operators and Tender,41
Active Listening ,Basic Skills,44,29,53-7064.00,"Packers and Packagers, Hand",44
Critical Thinking,Basic Skills,44,29,53-7064.00,"Packers and Packagers, Hand",44
Reading Comprehension,Basic Skills,41,29,53-7064.00,"Packers and Packagers, Hand",41
Speaking,Basic Skills,41,29,53-7064.00,"Packers and Packagers, Hand",41
Coordination,Social Skills,41,30,53-7064.00,"Packers and Packagers, Hand",41
Active Listening ,Basic Skills,50,43,47-2141.00,"Painters, Construction and Maintenance",50
Critical Thinking,Basic Skills,50,43,47-2141.00,"Painters, Construction and Maintenance",50
Social Perceptiveness,Social Skills,50,39,47-2141.00,"Painters, Construction and Maintenance",50
Time Management,Resource Management Skills,50,36,47-2141.00,"Painters, Construction and Maintenance",50
Reading Comprehension,Basic Skills,47,39,47-2141.00,"Painters, Construction and Maintenance",47
Coordination,Social Skills,47,37,47-2141.00,"Painters, Construction and Maintenance",47
Judgement and Decision Making,Systems Skills,47,34,47-2141.00,"Painters, Construction and Maintenance",47
Active Listening ,Basic Skills,47,32,51-9123.00,"Painting, Coating, and Decorating Worker",47
Coordination,Social Skills,47,37,51-9123.00,"Painting, Coating, and Decorating Worker",47
Social Perceptiveness,Social Skills,47,39,51-9123.00,"Painting, Coating, and Decorating Worker",47
Critical Thinking,Basic Skills,44,37,51-9123.00,"Painting, Coating, and Decorating Worker",44
Reading Comprehension,Basic Skills,44,32,51-9123.00,"Painting, Coating, and Decorating Worker",44
Speaking,Basic Skills,44,36,51-9123.00,"Painting, Coating, and Decorating Worker",44
Time Management,Resource Management Skills,41,34,51-9123.00,"Painting, Coating, and Decorating Worker",41
Operation Monitoring,Technical Skills,66,45,51-9196.00,"Paper Goods Machine Setters, Operators, and Tender",66
Operation and Control,Technical Skills,56,43,51-9196.00,"Paper Goods Machine Setters, Operators, and Tender",56
Quality Control Analysis,Technical Skills,53,39,51-9196.00,"Paper Goods Machine Setters, Operators, and Tender",53
Active Listening ,Basic Skills,50,39,51-9196.00,"Paper Goods Machine Setters, Operators, and Tender",50
Critical Thinking,Basic Skills,50,41,51-9196.00,"Paper Goods Machine Setters, Operators, and Tender",50
Speaking,Basic Skills,50,39,51-9196.00,"Paper Goods Machine Setters, Operators, and Tender",50
Time Management,Resource Management Skills,50,37,51-9196.00,"Paper Goods Machine Setters, Operators, and Tender",50
Active learning ,Basic Skills,47,32,51-9196.00,"Paper Goods Machine Setters, Operators, and Tender",47
Coordination,Social Skills,47,37,51-9196.00,"Paper Goods Machine Setters, Operators, and Tender",47
Social Perceptiveness,Social Skills,47,36,51-9196.00,"Paper Goods Machine Setters, Operators, and Tender",47
Complex Problem Solving,Complex Problem Solving,47,34,51-9196.00,"Paper Goods Machine Setters, Operators, and Tender",47
Equipment Maintenance,Technical Skills,47,39,51-9196.00,"Paper Goods Machine Setters, Operators, and Tender",47
Reading Comprehension,Basic Skills,44,32,51-9196.00,"Paper Goods Machine Setters, Operators, and Tender",44
Judgement and Decision Making,Systems Skills,44,32,51-9196.00,"Paper Goods Machine Setters, Operators, and Tender",44
Troubleshooting,Technical Skills,44,37,51-9196.00,"Paper Goods Machine Setters, Operators, and Tender",44
Active Listening ,Basic Skills,50,36,47-2142.00,Paperhanger,50
Speaking,Basic Skills,50,34,47-2142.00,Paperhanger,50
Coordination,Social Skills,50,41,47-2142.00,Paperhanger,50
Critical Thinking,Basic Skills,47,34,47-2142.00,Paperhanger,47
Time Management,Resource Management Skills,47,34,47-2142.00,Paperhanger,47
Complex Problem Solving,Complex Problem Solving,44,36,47-2142.00,Paperhanger,44
Judgement and Decision Making,Systems Skills,44,32,47-2142.00,Paperhanger,44
Social Perceptiveness,Social Skills,41,30,47-2142.00,Paperhanger,41
Reading Comprehension,Basic Skills,75,57,23-2011.00,Paralegals and Legal Assistant,75
Active Listening ,Basic Skills,72,57,23-2011.00,Paralegals and Legal Assistant,72
Speaking,Basic Skills,69,54,23-2011.00,Paralegals and Legal Assistant,69
Writing,Basic Skills,69,55,23-2011.00,Paralegals and Legal Assistant,69
Critical Thinking,Basic Skills,60,50,23-2011.00,Paralegals and Legal Assistant,60
Active learning ,Basic Skills,53,46,23-2011.00,Paralegals and Legal Assistant,53
Complex Problem Solving,Complex Problem Solving,53,43,23-2011.00,Paralegals and Legal Assistant,53
Coordination,Social Skills,50,43,23-2011.00,Paralegals and Legal Assistant,50
Sevice Orientation,Social Skills,50,43,23-2011.00,Paralegals and Legal Assistant,50
Time Management,Resource Management Skills,50,45,23-2011.00,Paralegals and Legal Assistant,50
Judgement and Decision Making,Systems Skills,50,43,23-2011.00,Paralegals and Legal Assistant,50
Social Perceptiveness,Social Skills,47,45,23-2011.00,Paralegals and Legal Assistant,47
Persuasion,Social Skills,44,41,23-2011.00,Paralegals and Legal Assistant,44
Speaking,Basic Skills,75,55,19-1031.03,Park Naturalist,75
Reading Comprehension,Basic Skills,72,55,19-1031.03,Park Naturalist,72
Active Listening ,Basic Skills,69,55,19-1031.03,Park Naturalist,69
Critical Thinking,Basic Skills,69,55,19-1031.03,Park Naturalist,69
Social Perceptiveness,Social Skills,69,48,19-1031.03,Park Naturalist,69
Writing,Basic Skills,66,55,19-1031.03,Park Naturalist,66
Active learning ,Basic Skills,60,45,19-1031.03,Park Naturalist,60
Instructing,Social Skills,60,46,19-1031.03,Park Naturalist,60
Judgement and Decision Making,Systems Skills,60,45,19-1031.03,Park Naturalist,60
Learning Strategies,Basic Skills,56,46,19-1031.03,Park Naturalist,56
Sevice Orientation,Social Skills,56,48,19-1031.03,Park Naturalist,56
Coordination,Social Skills,53,45,19-1031.03,Park Naturalist,53
Time Management,Resource Management Skills,53,45,19-1031.03,Park Naturalist,53
Persuasion,Social Skills,50,41,19-1031.03,Park Naturalist,50
Complex Problem Solving,Complex Problem Solving,50,43,19-1031.03,Park Naturalist,50
Management of Personnel Resources,Resource Management Skills,50,41,19-1031.03,Park Naturalist,50
Negotiation,Social Skills,47,36,19-1031.03,Park Naturalist,47
Systems Evaluation,Systems Skills,47,34,19-1031.03,Park Naturalist,47
Operations Analysis,Technical Skills,47,39,19-1031.03,Park Naturalist,47
Systems Analysis,Systems Skills,44,32,19-1031.03,Park Naturalist,44
Science,Basic Skills,41,34,19-1031.03,Park Naturalist,41
Speaking,Basic Skills,63,34,53-6021.00,Parking Attendant,63
Sevice Orientation,Social Skills,60,36,53-6021.00,Parking Attendant,60
Active Listening ,Basic Skills,56,39,53-6021.00,Parking Attendant,56
Social Perceptiveness,Social Skills,50,34,53-6021.00,Parking Attendant,50
Critical Thinking,Basic Skills,47,39,53-6021.00,Parking Attendant,47
Writing,Basic Skills,44,29,53-6021.00,Parking Attendant,44
Coordination,Social Skills,44,32,53-6021.00,Parking Attendant,44
Judgement and Decision Making,Systems Skills,44,34,53-6021.00,Parking Attendant,44
Operation and Control,Technical Skills,41,29,53-6021.00,Parking Attendant,41
Speaking,Basic Skills,56,43,33-3041.00,Parking Enforcement Worker,56
Active Listening ,Basic Skills,53,43,33-3041.00,Parking Enforcement Worker,53
Critical Thinking,Basic Skills,53,43,33-3041.00,Parking Enforcement Worker,53
Social Perceptiveness,Social Skills,53,41,33-3041.00,Parking Enforcement Worker,53
Reading Comprehension,Basic Skills,50,41,33-3041.00,Parking Enforcement Worker,50
Coordination,Social Skills,50,39,33-3041.00,Parking Enforcement Worker,50
Sevice Orientation,Social Skills,50,41,33-3041.00,Parking Enforcement Worker,50
Time Management,Resource Management Skills,50,37,33-3041.00,Parking Enforcement Worker,50
Active learning ,Basic Skills,47,34,33-3041.00,Parking Enforcement Worker,47
Writing,Basic Skills,47,34,33-3041.00,Parking Enforcement Worker,47
Instructing,Social Skills,47,39,33-3041.00,Parking Enforcement Worker,47
Judgement and Decision Making,Systems Skills,47,32,33-3041.00,Parking Enforcement Worker,47
Negotiation,Social Skills,44,30,33-3041.00,Parking Enforcement Worker,44
Persuasion,Social Skills,44,30,33-3041.00,Parking Enforcement Worker,44
Complex Problem Solving,Complex Problem Solving,44,34,33-3041.00,Parking Enforcement Worker,44
Operation and Control,Technical Skills,41,32,33-3041.00,Parking Enforcement Worker,41
Active Listening ,Basic Skills,75,55,41-2022.00,Parts Salesperson,75
Speaking,Basic Skills,75,45,41-2022.00,Parts Salesperson,75
Reading Comprehension,Basic Skills,72,45,41-2022.00,Parts Salesperson,72
Sevice Orientation,Social Skills,72,45,41-2022.00,Parts Salesperson,72
Persuasion,Social Skills,66,46,41-2022.00,Parts Salesperson,66
Social Perceptiveness,Social Skills,63,43,41-2022.00,Parts Salesperson,63
Critical Thinking,Basic Skills,56,45,41-2022.00,Parts Salesperson,56
Writing,Basic Skills,53,41,41-2022.00,Parts Salesperson,53
Coordination,Social Skills,50,41,41-2022.00,Parts Salesperson,50
Negotiation,Social Skills,50,43,41-2022.00,Parts Salesperson,50
Complex Problem Solving,Complex Problem Solving,50,43,41-2022.00,Parts Salesperson,50
Time Management,Resource Management Skills,50,36,41-2022.00,Parts Salesperson,50
Judgement and Decision Making,Systems Skills,50,43,41-2022.00,Parts Salesperson,50
Active learning ,Basic Skills,47,43,41-2022.00,Parts Salesperson,47
Instructing,Social Skills,47,32,41-2022.00,Parts Salesperson,47
Sevice Orientation,Social Skills,72,54,53-6061.00,Passenger Attendant,72
Active Listening ,Basic Skills,69,46,53-6061.00,Passenger Attendant,69
Speaking,Basic Skills,69,41,53-6061.00,Passenger Attendant,69
Social Perceptiveness,Social Skills,69,45,53-6061.00,Passenger Attendant,69
Reading Comprehension,Basic Skills,50,41,53-6061.00,Passenger Attendant,50
Coordination,Social Skills,50,43,53-6061.00,Passenger Attendant,50
Persuasion,Social Skills,50,39,53-6061.00,Passenger Attendant,50
Critical Thinking,Basic Skills,47,46,53-6061.00,Passenger Attendant,47
Negotiation,Social Skills,47,30,53-6061.00,Passenger Attendant,47
Active learning ,Basic Skills,41,36,53-6061.00,Passenger Attendant,41
Complex Problem Solving,Complex Problem Solving,41,34,53-6061.00,Passenger Attendant,41
Judgement and Decision Making,Systems Skills,41,32,53-6061.00,Passenger Attendant,41
Active Listening ,Basic Skills,78,57,29-2099.08,Patient Representative,78
Sevice Orientation,Social Skills,75,55,29-2099.08,Patient Representative,75
Social Perceptiveness,Social Skills,75,57,29-2099.08,Patient Representative,75
Reading Comprehension,Basic Skills,72,55,29-2099.08,Patient Representative,72
Speaking,Basic Skills,72,57,29-2099.08,Patient Representative,72
Coordination,Social Skills,72,48,29-2099.08,Patient Representative,72
Critical Thinking,Basic Skills,66,54,29-2099.08,Patient Representative,66
Persuasion,Social Skills,66,52,29-2099.08,Patient Representative,66
Time Management,Resource Management Skills,60,46,29-2099.08,Patient Representative,60
Active learning ,Basic Skills,56,50,29-2099.08,Patient Representative,56
Writing,Basic Skills,56,54,29-2099.08,Patient Representative,56
Complex Problem Solving,Complex Problem Solving,56,45,29-2099.08,Patient Representative,56
Judgement and Decision Making,Systems Skills,56,46,29-2099.08,Patient Representative,56
Negotiation,Social Skills,50,45,29-2099.08,Patient Representative,50
Instructing,Social Skills,47,48,29-2099.08,Patient Representative,47
Systems Analysis,Systems Skills,47,41,29-2099.08,Patient Representative,47
Learning Strategies,Basic Skills,44,43,29-2099.08,Patient Representative,44
Management of Personnel Resources,Resource Management Skills,44,37,29-2099.08,Patient Representative,44
Systems Evaluation,Systems Skills,44,43,29-2099.08,Patient Representative,44
Operation Monitoring,Technical Skills,60,45,51-4062.00,"Patternmakers, Metal and Plastic",60
Operation and Control,Technical Skills,53,43,51-4062.00,"Patternmakers, Metal and Plastic",53
Quality Control Analysis,Technical Skills,53,46,51-4062.00,"Patternmakers, Metal and Plastic",53
Active Listening ,Basic Skills,50,41,51-4062.00,"Patternmakers, Metal and Plastic",50
Critical Thinking,Basic Skills,50,43,51-4062.00,"Patternmakers, Metal and Plastic",50
Reading Comprehension,Basic Skills,50,43,51-4062.00,"Patternmakers, Metal and Plastic",50
Speaking,Basic Skills,50,41,51-4062.00,"Patternmakers, Metal and Plastic",50
Complex Problem Solving,Complex Problem Solving,50,39,51-4062.00,"Patternmakers, Metal and Plastic",50
Time Management,Resource Management Skills,47,36,51-4062.00,"Patternmakers, Metal and Plastic",47
Judgement and Decision Making,Systems Skills,47,36,51-4062.00,"Patternmakers, Metal and Plastic",47
Active learning ,Basic Skills,41,32,51-4062.00,"Patternmakers, Metal and Plastic",41
Coordination,Social Skills,41,37,51-4062.00,"Patternmakers, Metal and Plastic",41
Social Perceptiveness,Social Skills,41,36,51-4062.00,"Patternmakers, Metal and Plastic",41
Operation and Control,Technical Skills,60,43,51-7032.00,"Patternmakers, Wood",60
Operations Analysis,Technical Skills,56,41,51-7032.00,"Patternmakers, Wood",56
Reading Comprehension,Basic Skills,53,45,51-7032.00,"Patternmakers, Wood",53
Active Listening ,Basic Skills,50,43,51-7032.00,"Patternmakers, Wood",50
Critical Thinking,Basic Skills,50,41,51-7032.00,"Patternmakers, Wood",50
Complex Problem Solving,Complex Problem Solving,50,39,51-7032.00,"Patternmakers, Wood",50
Operation Monitoring,Technical Skills,50,45,51-7032.00,"Patternmakers, Wood",50
Social Perceptiveness,Social Skills,47,36,51-7032.00,"Patternmakers, Wood",47
Quality Control Analysis,Technical Skills,47,43,51-7032.00,"Patternmakers, Wood",47
Speaking,Basic Skills,44,32,51-7032.00,"Patternmakers, Wood",44
Time Management,Resource Management Skills,44,37,51-7032.00,"Patternmakers, Wood",44
Judgement and Decision Making,Systems Skills,44,37,51-7032.00,"Patternmakers, Wood",44
Active learning ,Basic Skills,41,36,51-7032.00,"Patternmakers, Wood",41
Management of Financial Resources,Resource Management Skills,41,32,51-7032.00,"Patternmakers, Wood",41
Equipment Selection,Technical Skills,41,36,51-7032.00,"Patternmakers, Wood",41
Operation Monitoring,Technical Skills,66,45,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operator",66
Operation and Control,Technical Skills,60,45,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operator",60
Critical Thinking,Basic Skills,50,41,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operator",50
Coordination,Social Skills,50,45,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operator",50
Repairing,Technical Skills,50,43,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operator",50
Troubleshooting,Technical Skills,50,41,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operator",50
Active Listening ,Basic Skills,47,39,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operator",47
Speaking,Basic Skills,47,32,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operator",47
Judgement and Decision Making,Systems Skills,47,36,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operator",47
Equipment Maintenance,Technical Skills,47,43,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operator",47
Time Management,Resource Management Skills,44,30,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operator",44
Quality Control Analysis,Technical Skills,44,41,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operator",44
Active learning ,Basic Skills,41,30,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operator",41
Complex Problem Solving,Complex Problem Solving,41,36,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operator",41
Active Listening ,Basic Skills,69,48,43-3051.00,Payroll and Timekeeping Clerk,69
Reading Comprehension,Basic Skills,69,54,43-3051.00,Payroll and Timekeeping Clerk,69
Speaking,Basic Skills,56,45,43-3051.00,Payroll and Timekeeping Clerk,56
Critical Thinking,Basic Skills,53,45,43-3051.00,Payroll and Timekeeping Clerk,53
Writing,Basic Skills,53,45,43-3051.00,Payroll and Timekeeping Clerk,53
Time Management,Resource Management Skills,50,43,43-3051.00,Payroll and Timekeeping Clerk,50
Judgement and Decision Making,Systems Skills,47,43,43-3051.00,Payroll and Timekeeping Clerk,47
Active learning ,Basic Skills,44,41,43-3051.00,Payroll and Timekeeping Clerk,44
Social Perceptiveness,Social Skills,44,39,43-3051.00,Payroll and Timekeeping Clerk,44
Complex Problem Solving,Complex Problem Solving,44,41,43-3051.00,Payroll and Timekeeping Clerk,44
Coordination,Social Skills,41,34,43-3051.00,Payroll and Timekeeping Clerk,41
Sevice Orientation,Social Skills,41,39,43-3051.00,Payroll and Timekeeping Clerk,41
Critical Thinking,Basic Skills,81,64,29-1221.00,"Pediatricians, General",81
Speaking,Basic Skills,81,59,29-1221.00,"Pediatricians, General",81
Judgement and Decision Making,Systems Skills,81,63,29-1221.00,"Pediatricians, General",81
Active Listening ,Basic Skills,78,63,29-1221.00,"Pediatricians, General",78
Reading Comprehension,Basic Skills,78,71,29-1221.00,"Pediatricians, General",78
Active learning ,Basic Skills,75,59,29-1221.00,"Pediatricians, General",75
Science,Basic Skills,75,59,29-1221.00,"Pediatricians, General",75
Writing,Basic Skills,75,57,29-1221.00,"Pediatricians, General",75
Social Perceptiveness,Social Skills,75,57,29-1221.00,"Pediatricians, General",75
Complex Problem Solving,Complex Problem Solving,75,59,29-1221.00,"Pediatricians, General",75
Sevice Orientation,Social Skills,72,55,29-1221.00,"Pediatricians, General",72
Coordination,Social Skills,60,50,29-1221.00,"Pediatricians, General",60
Instructing,Social Skills,60,55,29-1221.00,"Pediatricians, General",60
Learning Strategies,Basic Skills,56,46,29-1221.00,"Pediatricians, General",56
Persuasion,Social Skills,56,46,29-1221.00,"Pediatricians, General",56
Negotiation,Social Skills,50,43,29-1221.00,"Pediatricians, General",50
Time Management,Resource Management Skills,50,50,29-1221.00,"Pediatricians, General",50
Systems Evaluation,Systems Skills,50,54,29-1221.00,"Pediatricians, General",50
Management of Personnel Resources,Resource Management Skills,47,43,29-1221.00,"Pediatricians, General",47
Systems Analysis,Systems Skills,47,43,29-1221.00,"Pediatricians, General",47
Operations Analysis,Technical Skills,47,52,29-1221.00,"Pediatricians, General",47
Sevice Orientation,Social Skills,72,54,31-1122.00,Personal Care Aide,72
Social Perceptiveness,Social Skills,66,45,31-1122.00,Personal Care Aide,66
Active Listening ,Basic Skills,63,41,31-1122.00,Personal Care Aide,63
Speaking,Basic Skills,56,41,31-1122.00,Personal Care Aide,56
Critical Thinking,Basic Skills,50,43,31-1122.00,Personal Care Aide,50
Coordination,Social Skills,50,41,31-1122.00,Personal Care Aide,50
Instructing,Social Skills,50,34,31-1122.00,Personal Care Aide,50
Time Management,Resource Management Skills,50,37,31-1122.00,Personal Care Aide,50
Judgement and Decision Making,Systems Skills,50,36,31-1122.00,Personal Care Aide,50
Reading Comprehension,Basic Skills,47,39,31-1122.00,Personal Care Aide,47
Writing,Basic Skills,47,39,31-1122.00,Personal Care Aide,47
Active learning ,Basic Skills,44,39,31-1122.00,Personal Care Aide,44
Learning Strategies,Basic Skills,44,37,31-1122.00,Personal Care Aide,44
Complex Problem Solving,Complex Problem Solving,44,34,31-1122.00,Personal Care Aide,44
Active Listening ,Basic Skills,75,57,13-2052.00,Personal Financial Advisor,75
Reading Comprehension,Basic Skills,75,57,13-2052.00,Personal Financial Advisor,75
Speaking,Basic Skills,75,57,13-2052.00,Personal Financial Advisor,75
Writing,Basic Skills,75,57,13-2052.00,Personal Financial Advisor,75
Critical Thinking,Basic Skills,72,59,13-2052.00,Personal Financial Advisor,72
Judgement and Decision Making,Systems Skills,72,55,13-2052.00,Personal Financial Advisor,72
Sevice Orientation,Social Skills,69,55,13-2052.00,Personal Financial Advisor,69
Complex Problem Solving,Complex Problem Solving,69,55,13-2052.00,Personal Financial Advisor,69
Persuasion,Social Skills,66,52,13-2052.00,Personal Financial Advisor,66
Social Perceptiveness,Social Skills,66,50,13-2052.00,Personal Financial Advisor,66
Active learning ,Basic Skills,60,46,13-2052.00,Personal Financial Advisor,60
Systems Analysis,Systems Skills,56,50,13-2052.00,Personal Financial Advisor,56
Systems Evaluation,Systems Skills,56,48,13-2052.00,Personal Financial Advisor,56
Coordination,Social Skills,53,41,13-2052.00,Personal Financial Advisor,53
Instructing,Social Skills,50,43,13-2052.00,Personal Financial Advisor,50
Negotiation,Social Skills,50,43,13-2052.00,Personal Financial Advisor,50
Management of Financial Resources,Resource Management Skills,50,45,13-2052.00,Personal Financial Advisor,50
Time Management,Resource Management Skills,50,45,13-2052.00,Personal Financial Advisor,50
Learning Strategies,Basic Skills,47,43,13-2052.00,Personal Financial Advisor,47
Active Listening ,Basic Skills,69,43,37-2021.00,Pest Control Worker,69
Critical Thinking,Basic Skills,69,48,37-2021.00,Pest Control Worker,69
Speaking,Basic Skills,66,43,37-2021.00,Pest Control Worker,66
Writing,Basic Skills,66,43,37-2021.00,Pest Control Worker,66
Time Management,Resource Management Skills,63,43,37-2021.00,Pest Control Worker,63
Social Perceptiveness,Social Skills,60,41,37-2021.00,Pest Control Worker,60
Sevice Orientation,Social Skills,56,43,37-2021.00,Pest Control Worker,56
Complex Problem Solving,Complex Problem Solving,56,43,37-2021.00,Pest Control Worker,56
Active learning ,Basic Skills,53,41,37-2021.00,Pest Control Worker,53
Coordination,Social Skills,53,43,37-2021.00,Pest Control Worker,53
Negotiation,Social Skills,53,41,37-2021.00,Pest Control Worker,53
Persuasion,Social Skills,53,43,37-2021.00,Pest Control Worker,53
Judgement and Decision Making,Systems Skills,53,41,37-2021.00,Pest Control Worker,53
Reading Comprehension,Basic Skills,50,43,37-2021.00,Pest Control Worker,50
Management of Personnel Resources,Resource Management Skills,50,41,37-2021.00,Pest Control Worker,50
Operation and Control,Technical Skills,50,37,37-2021.00,Pest Control Worker,50
Operation Monitoring,Technical Skills,50,39,37-2021.00,Pest Control Worker,50
Instructing,Social Skills,47,41,37-2021.00,Pest Control Worker,47
Systems Analysis,Systems Skills,47,37,37-2021.00,Pest Control Worker,47
Learning Strategies,Basic Skills,44,39,37-2021.00,Pest Control Worker,44
Systems Evaluation,Systems Skills,41,29,37-2021.00,Pest Control Worker,41
Quality Control Analysis,Technical Skills,41,34,37-2021.00,Pest Control Worker,41
Active Listening ,Basic Skills,56,43,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",56
Critical Thinking,Basic Skills,53,41,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",53
Speaking,Basic Skills,53,43,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",53
